,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,E13,E14,E15,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15
T11,0.02856715951,0.05178583767,0.1823372823,-0.1495123737,0.06117497357,0.1182701714,0.1752952094,0.2508734588,0.1346948341,0.3082618833,1,0.3256519524,0.1917338618,0.09949047077,0.1121902393,-0.1388911213,-0.00832998914,-0.00595239243,-0.002952063864,0.1035576022,0.1115902208,0.08726656475,0.159323015,-0.06663251337,-0.08482513134,0.2386407696,0.157680296,0.1835873503,0.1681969755,0.1357086845,0.2076878385,0.06390627599,0.2331888156,0.2521124321,0.3171579786,0.07513233075,0.1221546545,0.2166281406,0.3258991677,0.3674370584,0.1608198883,0.3122931629,0.2435974061,0.4359530168,0.1376607456,0.005748874875,0.2239215092,0.2139987089,0.2481382953,0.05427973719,0.2404360735,0.2307758854,0.2632126355,0.1374365169,0.3688655578,0.1984750896,0.2487536379,0.2236270745,0.02007520236,0.2476330857
T12,-0.2857748909,0.0002512127047,0.3003793316,0.1681760916,0.0817825518,0.2074517627,0.02759754743,0.123047694,-0.1622034572,0.4629389593,0.3256519524,1,0.4884822126,0.3797639305,0.2082884871,-0.1610739372,0.1156455487,-0.1368931065,-0.1111219707,-0.04488216996,-0.1750054668,0.1794777417,-0.05954294706,-0.07680402678,0.3066338044,0.1261792545,0.1049110234,-0.1206232699,0.1731967029,0.1022697027,0.2188920254,0.08701794526,0.2488815157,0.3075966713,0.3893936739,0.2157799131,0.1694592907,0.06362782615,0.1728922367,0.1717463129,0.06169298085,0.2382935235,0.4146664207,0.3206688903,0.3317807815,0.07735709642,0.3429118477,0.1531619551,0.2286883644,0.03096148168,0.1390120889,0.07048819987,0.1494019975,0.2067305494,0.3242284681,0.03747749899,0.1868125883,0.2512074348,-0.006553871786,0.2258186906
T13,-0.1486023681,0.02499541908,0.1241349281,0.006755880098,-0.04966448357,0.03379337597,-0.0556346545,0.1313392267,-0.1206013386,0.2622160614,0.1917338618,0.4884822126,1,0.0336336397,0.0533027336,0.02413630029,0.03667973332,0.02307694726,-0.1395969727,0.1603118674,0.08378499944,0.1887601558,-0.05350698052,0.1418441982,0.2152155329,0.2143993384,0.05168711642,0.07001956153,0.0461729747,0.03351284135,0.07979909364,0.01458195773,0.1620650526,0.02463477881,0.2069052029,0.2675618919,-0.07353628526,0.1655097341,0.03523158783,0.1846699968,0.1393833424,0.1694139059,0.3208959256,0.1730280587,0.03902924336,-0.04265325636,0.139207269,0.08828043696,0.1150966166,0.1376962835,0.3181317233,0.3120523151,0.314842201,0.0714303195,0.2920943352,0.1428673693,0.2320309097,0.2042147699,0.03950620878,0.1910457231
T14,-0.08142788405,0.1176979773,0.2005612065,0.314485451,0.07229984674,0.1556140351,0.15462315,0.1485481649,-0.05922203534,0.2973007604,0.09949047077,0.3797639305,0.0336336397,1,0.1202619735,-0.09930574693,0.006755053635,-0.2789151667,9.059838482e-17,0.03365676355,0.1179230413,0.1405864552,-0.03887987268,0.001540463315,0.3681879183,-0.02386512031,0.08736631292,-0.1182143324,0.03246437924,0.07472758876,0.1366865641,0.07121359897,0.09517173318,0.1827513564,0.2423960462,0.2964618474,0.1445259036,0.05330898552,0.233553323,0.1854201486,-0.1496599534,0.2149623849,0.1976716543,0.2855946475,0.2613096523,0.2075042421,0.4495008816,0.07333737071,0.1093178849,-0.1295440895,-0.1634678885,-0.07848765372,0.1617849175,0.1751153498,0.2566854912,0.2092903036,0.2292499258,0.3597321161,0.2028905049,0.02467326513
T15,-0.06538895162,0.01443977456,0.1519094494,0.2532208971,0.2233952522,0.12915327,-0.01379631914,0.03329849476,-0.04415918239,-0.008183262215,0.1121902393,0.2082884871,0.0533027336,0.1202619735,1,-0.08374040072,-0.07552592127,0.01970883866,-0.1135800146,-0.1085836632,-0.06247806087,0.1021471335,0.1337600937,-0.2135727712,0.078884471,-0.001115179299,0.06021672042,-0.1055414046,0.05313258997,0.07961536434,-0.109705646,-0.07720261131,-0.03652087338,-0.07977196804,0.04530713431,0.03470082359,0.1007176803,-0.02957164006,0.1058397209,0.1323783936,0.1771654428,-0.07255461036,0.161402386,0.2738571317,0.2498650553,0.1310202859,0.1315089253,0.08042713521,0.1627716564,-0.08138513667,0.2525526662,-0.06431019076,0.1109166879,0.1204313274,0.0978358414,0.1356159035,0.03750305424,0.2029692047,0.126892934,0.2488032907
E01,0.04675340446,0.1325801228,-0.09931770767,0.0331915921,0.05346865002,0.2040664477,0.1003193445,-0.01208438705,0.003347984799,-0.01665954531,-0.1388911213,-0.1610739372,0.02413630029,-0.09930574693,-0.08374040072,1,-0.3143728679,-0.1321502762,0.08511284852,0.3932080194,0.2235818184,0.1817064524,0.03253080827,0.4296447494,0.3161287907,0.0933924529,0.1479684236,0.1895888605,0.1138993437,0.1282220667,0.04197096334,0.224465568,0.0382655052,0.11345558,-0.01513555383,0.3003525407,0.3004665126,0.05637431269,0.2002828673,-0.01352160959,0.1807946466,0.1093073332,0.0460020852,0.05075386868,0.08056246588,0.1041037897,0.03528600166,0.08462982969,-0.002308826727,0.232211333,0.04818394694,0.2816997499,0.0795977447,0.1404019552,0.01481141819,0.1076673591,0.1509112171,-0.01039275039,0.2635713251,-0.05571508627
E02,0.1434847077,0.01373544187,0.08493980743,0.02315271732,0.006477621764,-0.1294557751,0.07834916637,0.2004941276,0.02730862483,-0.02853229912,-0.00832998914,0.1156455487,0.03667973332,0.006755053635,-0.07552592127,-0.3143728679,1,0.2846247516,-0.1056720512,-0.04511257924,0.02564623389,-0.1916568091,0.05455425928,-0.2286763808,-0.187989754,-0.2019604682,0.01041370743,-0.03976225109,0.02092586678,-0.1861054443,-0.004320310415,0.02704661541,-0.1709663192,0.06363521784,0.03242541381,-0.08351919285,-0.2068827129,0.05138010261,-0.1694842223,-0.06814727875,-0.1934963635,-0.02897523317,-0.1049141275,-0.1093070247,-0.09464515096,-0.107186968,-0.0005140877921,-0.07407589587,0.05468677413,-0.1637059958,-0.05170311898,-0.06378028303,-0.09091973022,-0.03597145422,0.01925561451,-0.1952327921,0.05568191555,-0.04282441109,-0.1179797129,0.01851898112
E03,0.1137011908,-0.08394837924,-0.0408728918,-0.1098002657,-0.06642256308,-0.3021866882,-0.02009619004,-0.02156647944,-0.06163981836,-0.1513155093,-0.00595239243,-0.1368931065,0.02307694726,-0.2789151667,0.01970883866,-0.1321502762,0.2846247516,1,-0.2760274111,-0.2403283524,-0.0791611346,-0.2968412228,0.06612212483,0.0368838205,-0.4403903433,-0.2793461235,-0.2771540986,0.0439769119,-0.1135554782,-0.1553023884,-0.007810647741,-0.00191525571,-0.01573442373,-0.1949568263,-0.2295767786,-0.2923336691,-0.1813739473,-0.1193810285,-0.2572351702,-0.06172133998,-0.1325471496,-0.1733133913,-0.2192568735,-0.2331887822,0.0484824533,-0.1026968601,-0.1343339961,-0.04354639797,-0.06559103635,-0.2420976422,0.02881243783,-0.140718917,-0.1391918773,-0.1536380735,-0.06270973122,-0.04724472217,0.05439348319,-0.1770543168,-0.1675131274,-0.08525025108
E04,0.09452404656,0.1505792855,-0.3225691737,-0.06855714902,0.05411237782,0.1244035082,0.07735269485,-0.09608555825,0.1316459139,-0.05622229769,-0.002952063864,-0.1111219707,-0.1395969727,9.059838482e-17,-0.1135800146,0.08511284852,-0.1056720512,-0.2760274111,1,0.1189548819,0.08112746625,0.2211835862,0.01802526015,-0.04336841032,0.2703049978,-0.1349466313,0.1988611054,-0.04573109145,0.1130515735,0.09720704433,-0.07700313738,-0.04607533511,0.1025633475,0.1132980523,-0.06752929929,0.3082121949,0.02640216067,0.009333435965,0.1746594203,2.544613096e-16,0.132082574,-0.005939742666,0.1232997663,0.192408476,0.04585180207,0.1121161635,0.1150497547,0.003146644668,-0.05826136143,0.2039728644,0.08774322398,0.1065378862,0.1015269428,0.2046659751,0.1252094141,0.2212003502,0.07318101442,0.2120952906,0.1578801196,0.1089547972
E05,-0.05230728139,-0.2228263861,0.1254429012,-0.01075168705,-0.133710446,0.02046227993,0.002701229826,0.1235115009,0.1329803999,0.06699253303,0.1035576022,-0.04488216996,0.1603118674,0.03365676355,-0.1085836632,0.3932080194,-0.04511257924,-0.2403283524,0.1189548819,1,0.3418033591,0.2577206156,0.08611647266,0.2117746765,0.2593899305,0.1652299683,0.03360068415,0.1335026446,0.1266845618,0.1899157474,-0.07525732081,0.1411804043,-0.02973303982,0.07840546847,0.1746064409,0.3509975501,0.1586460697,0.1090582345,0.2239768117,0.1319426769,0.1850736953,0.200823758,0.1070484171,0.01244934059,-0.02746311085,0.1230236408,0.09487722496,0.006805987228,0.01729234449,0.1999138734,-0.04502910329,0.3697584862,0.188757891,0.1348394618,0.1471692171,0.02989886855,0.3004834348,0.1329145529,0.1361288271,0.1480295194
